period,transit_epoch_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,star_radius_sol,star_teff,star_logg,disposition_text,source,target_encoded
2.090811305,134.17462,3.388,115.9,1.62,1.384,5739.0,4.191,CONFIRMED,Kepler,1
3.180027898,133.49863,3.5797,120.3,1.53,1.402,5847.0,4.191,CONFIRMED,Kepler,1
11.76307164,180.93613,2.9076,1037.3,2.35,0.756,4959.0,4.603,CONFIRMED,Kepler,1
2.384052875,171.58362,3.0918,1268.1,17.06,0.701,4794.0,4.58,FALSE POSITIVE,Kepler,0
7.953547,174.66224,2.6312,875.4,2.25,0.779,4768.0,4.536,CONFIRMED,Kepler,1
4.14451656,135.92831,2.3421,391.8,1.48,0.779,4768.0,4.536,CONFIRMED,Kepler,1
10.526294577,176.522462,2.5211,9768.0,8.24,0.793,5386.0,4.553,CONFIRMED,Kepler,1
4.583520948,169.973972,2.7055,3812.1,5.39,0.877,5815.0,4.54,CONFIRMED,Kepler,1
3.76181843,171.90364,3.5176,510.6,2.66,0.949,5653.0,4.472,CONFIRMED,Kepler,1
8.20396958,169.69138,2.9667,1024.4,3.01,0.826,5015.0,4.499,CONFIRMED,Kepler,1
14.49645186,143.41659,4.016,647.5,3.01,0.826,5015.0,4.499,CONFIRMED,Kepler,1
6.54626149,133.85964,2.75,655.9,2.19,0.817,5251.0,4.581,CONFIRMED,Kepler,1
12.71809866,175.35526,3.0957,1149.4,2.31,0.686,4702.0,4.592,CONFIRMED,Kepler,1
36.06588163,198.58423,4.3246,1563.8,2.64,0.686,4702.0,4.592,CONFIRMED,Kepler,1
4.190425659,171.44122,2.8589,2877.4,6.21,1.135,6073.0,4.392,CONFIRMED,Kepler,1
3.709870784,171.987982,3.0694,2020.3,4.35,0.978,5727.0,4.463,CONFIRMED,Kepler,1
16.3297527,177.29506,6.271,1187.5,3.75,0.987,5878.0,4.444,CONFIRMED,Kepler,1
3.166465862,172.002627,2.9381,4357.2,26.82,0.704,4968.0,4.575,FALSE POSITIVE,Kepler,0
24.99324319,138.68167,5.9409,269.6,2.29,1.317,5718.0,4.181,CONFIRMED,Kepler,1
10.35533116,170.93729,3.1775,750.6,2.47,0.918,5501.0,4.462,CONFIRMED,Kepler,1
16.08518937,180.28319,3.984,1442.4,3.68,0.826,5239.0,4.523,CONFIRMED,Kepler,1
7.49018305,174.95037,2.7297,1123.6,2.56,0.787,5103.0,4.562,CONFIRMED,Kepler,1
36.2761238,201.2869,4.7865,1572.6,3.03,0.787,5103.0,4.562,CONFIRMED,Kepler,1
17.46087931,137.26594,2.2641,812.4,2.32,0.787,5103.0,4.562,CONFIRMED,Kepler,1
5.715425977,174.87931,2.5242,908.1,2.47,0.826,5237.0,4.572,CONFIRMED,Kepler,1
20.0261412,146.91109,1.611,421.2,2.28,0.826,5237.0,4.572,CONFIRMED,Kepler,1
13.61014819,173.987319,2.594,5732.9,19.02,0.903,5697.0,4.46,CANDIDATE,Kepler,1
10.44331991,175.4046,2.743,1159.8,2.66,0.802,4947.0,4.516,FALSE POSITIVE,Kepler,0
2.237489571,170.81914,1.8119,315.8,1.41,0.81,5265.0,4.58,CONFIRMED,Kepler,1
3.167893418,172.147959,2.1814,781.2,2.62,0.94,5895.0,4.503,CONFIRMED,Kepler,1
4.311780262,173.576483,2.7251,1154.0,3.11,0.927,5527.0,4.484,CONFIRMED,Kepler,1
20.0504494,188.08821,4.556,840.9,2.69,0.927,5527.0,4.484,CONFIRMED,Kepler,1
9.76734503,186.57718,1.6585,569.1,2.67,0.927,5527.0,4.484,CONFIRMED,Kepler,1
2.861159894,171.648106,1.8832,1014.3,4.37,1.021,6126.0,4.458,FALSE POSITIVE,Kepler,0
26.44439337,194.12074,3.9783,1843.5,3.91,0.929,5427.0,4.463,CONFIRMED,Kepler,1
5.902245782,136.78393,2.9003,702.3,2.43,0.929,5427.0,4.463,CONFIRMED,Kepler,1
2.382951591,135.080841,1.8876,391.6,1.86,0.929,5427.0,4.463,CONFIRMED,Kepler,1
21.02250608,207.67593,4.1072,1772.5,3.07,0.75,5067.0,4.585,CONFIRMED,Kepler,1
3.219814777,133.00406,2.0642,488.2,1.69,0.787,5103.0,4.562,CONFIRMED,Kepler,1
5.912273234,172.184012,2.3254,961.4,1.73,0.57,4072.0,4.696,CONFIRMED,Kepler,1
8.98581901,175.68418,2.8606,881.3,1.65,0.57,4072.0,4.696,CONFIRMED,Kepler,1
20.5452375,137.91394,2.517,218.5,2.41,1.264,5670.0,4.206,FALSE POSITIVE,Kepler,0
33.60123371,186.680343,4.4056,7425.9,8.46,0.93,5149.0,4.447,CONFIRMED,Kepler,1
6.76652928,138.0637,2.9004,450.7,1.97,0.93,5149.0,4.447,CONFIRMED,Kepler,1
4.347288783,172.23343,2.1024,451.6,2.36,1.122,5754.0,4.345,CONFIRMED,Kepler,1
4.601811819,169.98108,2.2607,755.9,2.35,0.833,4986.0,4.496,CONFIRMED,Kepler,1
11.18719905,137.17814,3.252,353.6,1.55,0.833,4986.0,4.496,CONFIRMED,Kepler,1
4.220965778,170.622433,3.0854,2260.0,2.62,0.517,3837.0,4.747,CONFIRMED,Kepler,1
5.95489993,170.955871,2.3892,1410.7,2.33,0.633,4261.0,4.641,CONFIRMED,Kepler,1
12.03987488,181.22536,2.7363,1250.6,2.18,0.633,4261.0,4.641,CONFIRMED,Kepler,1
20.83762895,132.08488,2.3734,439.0,1.42,0.633,4261.0,4.641,CONFIRMED,Kepler,1
23.58917143,173.81994,5.073,1200.7,3.16,0.721,4919.0,4.566,CONFIRMED,Kepler,1
6.481633073,122.977657,3.784,298.5,2.54,1.302,5945.0,4.213,CONFIRMED,Kepler,1
10.37168928,172.61729,3.035,1254.9,3.2,0.888,5121.0,4.457,CONFIRMED,Kepler,1
3.96996298,137.75447,1.1757,299.2,1.78,0.888,5121.0,4.457,CONFIRMED,Kepler,1
4.40841331,172.18582,5.012,549.4,2.66,0.961,6007.0,4.457,CONFIRMED,Kepler,1
7.9426176,174.52563,6.703,1590.7,4.68,0.926,5811.0,4.521,FALSE POSITIVE,Kepler,0
9.439459486,177.186096,2.8979,3036.1,4.16,0.779,5097.0,4.597,CONFIRMED,Kepler,1
11.523067458,131.969055,3.8757,507.3,3.13,1.411,5644.0,4.162,CONFIRMED,Kepler,1
20.47748843,178.66786,2.8364,1382.4,2.92,0.779,5097.0,4.597,CONFIRMED,Kepler,1
3.336123113,135.31623,1.9616,516.3,1.74,0.779,5097.0,4.597,CONFIRMED,Kepler,1
8.01078456,170.20739,2.312,1333.6,1.72,0.47,3713.0,4.779,CONFIRMED,Kepler,1
12.07134205,143.45948,4.3224,759.2,1.29,0.47,3713.0,4.779,CONFIRMED,Kepler,1
20.99587872,152.31554,2.6333,767.3,1.3,0.47,3713.0,4.779,CONFIRMED,Kepler,1
7.41113177,175.34754,2.5242,620.5,2.45,0.919,5849.0,4.517,CONFIRMED,Kepler,1
1.000747038,169.974229,0.9967,1823.5,4.14,0.79,5472.0,4.499,FALSE POSITIVE,Kepler,0
8.884922995,169.991686,2.07004,16053.0,10.51,0.843,5332.0,4.5,CONFIRMED,Kepler,1
8.09888906,176.623731,4.20241,6911.1,8.95,1.076,6214.0,4.442,CONFIRMED,Kepler,1
10.00653012,176.96898,5.344,936.1,3.52,1.001,6063.0,4.47,CONFIRMED,Kepler,1
17.855221681,146.596466,7.41287,9065.2,13.16,1.367,6823.0,4.308,CONFIRMED,Kepler,1
12.732624065,176.939054,2.2083,6465.7,4.87,0.541,3950.0,4.721,CANDIDATE,Kepler,1
5.007316661,173.433997,4.2362,6932.3,6.96,0.827,5865.0,4.563,CONFIRMED,Kepler,1
2.211116989,170.150139,1.6485,724.2,1.85,0.646,4500.0,4.656,CONFIRMED,Kepler,1
27.9541337,178.73791,3.95,942.5,1.9,0.646,4500.0,4.656,CONFIRMED,Kepler,1
12.69104387,137.12594,3.7727,252.1,2.57,1.626,5869.0,4.024,CONFIRMED,Kepler,1
4.409409243,171.89433,3.8636,12861.0,10.95,0.975,5600.0,4.368,FALSE POSITIVE,Kepler,0
16.23947096,175.569907,4.0374,2590.7,4.14,0.837,5191.0,4.564,CONFIRMED,Kepler,1
6.308201629,174.047661,2.9785,1328.5,2.96,0.837,5191.0,4.564,CONFIRMED,Kepler,1
2.052349884,169.890622,2.0778,14281.0,13.12,1.08,5855.0,4.393,CONFIRMED,Kepler,1
9.7704486,175.71372,2.4517,1897.8,2.23,0.509,3906.0,4.73,CONFIRMED,Kepler,1
5.169804269,172.63153,2.153,1037.4,1.66,0.509,3906.0,4.73,CONFIRMED,Kepler,1
21.22261195,137.57403,6.5093,366.0,2.48,1.302,5945.0,4.213,CONFIRMED,Kepler,1
20.09017037,147.97788,4.154,1432.1,2.25,0.509,3906.0,4.73,CONFIRMED,Kepler,1
7.11373257,174.32351,2.1764,807.6,1.16,0.411,3561.0,4.855,CONFIRMED,Kepler,1
3.306551643,134.37211,1.8177,509.2,0.91,0.411,3561.0,4.855,CONFIRMED,Kepler,1
15.36845737,147.38965,2.4714,756.1,1.11,0.411,3561.0,4.855,CONFIRMED,Kepler,1
13.81020318,172.33533,3.048,1309.7,4.56,1.142,5942.0,4.327,CONFIRMED,Kepler,1
4.093578461,171.00954,2.5833,538.6,2.85,0.999,6077.0,4.471,CONFIRMED,Kepler,1
